score,coverage,observed_fit,published_at_br,title,company,work_model,city,source,enrichment_status,enrichment_method,enrichment_attempts,description_length,url,reasons
45,68,56,2026-07-27T09:16:22-03:00,[1283] Analista de QA Pl - Meios de Pagamento (Remoto),Venturus,remote,BR,inhire,,,,,https://venturus.inhire.app/vagas/3af5a5fd-edba-41ab-9256-26a747b3e131/1283-analista-de-qa-pl-meios-de-pagamento-remoto,função-alvo não identificada: 0/30 | competências observadas: 8/8 (Pagamentos e cartões) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 10/10 (senioridade pleno) | remoto: 5/5 | fit observado: 56% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 68%
45,68,54,2026-06-22T11:21:58-03:00,Senior Payments Engineer — Acquiring & Payment Processing,Sezzle,remote,"Brazil, Remote",greenhouse,,,,,https://job-boards.greenhouse.io/sezzle/jobs/7779219003,função-alvo não identificada: 0/30 | competências observadas: 8/8 (Pagamentos e cartões) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 9/10 (senioridade sênior/especialista) | remoto: 5/5 | fit observado: 54% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 68%
45,67,48,2026-08-06T18:08:26-03:00,ESPECIALISTA DESENVOLVEDOR OIC/OFS ORACLE - RHA3043,Spread Tecnologia,remote,,gupy,,,,,https://spread.gupy.io/job/eyJqb2JJZCI6MTE5NjgyMTEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,função-alvo não identificada: 0/30 | competências observadas: 7/7 (SQL e banco de dados) | segmento: 11/15 (tecnologia/SaaS) | senioridade: 9/10 (senioridade sênior/especialista) | remoto: 5/5 | fit observado: 48% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 67%
45,67,54,2026-08-04T17:50:05-03:00,Analista de Banco de Dados Sênior,Vetta Tecnologia,remote,,gupy,,,,,https://vetta.gupy.io/job/eyJqb2JJZCI6MTE5MjcyMjcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,função-alvo não identificada: 0/30 | competências observadas: 7/7 (SQL e banco de dados) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 9/10 (senioridade sênior/especialista) | remoto: 5/5 | fit observado: 54% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 67%
45,67,55,2026-08-03T13:09:29-03:00,CAS | Engenheiro de Banco de Dados PL - Foco em DBRE SQLServer e Opensource,Sicredi,remote,,gupy,,,,,https://sicredi.gupy.io/job/eyJqb2JJZCI6MTE4MjU5NTcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,função-alvo não identificada: 0/30 | competências observadas: 7/7 (SQL e banco de dados) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 10/10 (senioridade pleno) | remoto: 5/5 | fit observado: 55% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 67%
45,67,55,2026-07-24T11:09:05-03:00,Analista de Banco de Dados Pleno,Poliedro Educação,remote,BR,inhire,,,,,https://poliedroeducacao.inhire.app/vagas/cdfc398c-854d-4c08-b1da-9b2de8719d61/analista-de-banco-de-dados-pleno,função-alvo não identificada: 0/30 | competências observadas: 7/7 (SQL e banco de dados) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 10/10 (senioridade pleno) | remoto: 5/5 | fit observado: 55% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 67%
45,67,54,2026-07-17T13:58:32-03:00,Banco de talentos -  Analista de Banco de Dados SR - Híbrido/Remoto,Vagas Inmetrics,remote,,gupy,,,,,https://inmetrics.gupy.io/job/eyJqb2JJZCI6MTE2NzYxNDMsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,função-alvo não identificada: 0/30 | competências observadas: 7/7 (SQL e banco de dados) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 9/10 (senioridade sênior/especialista) | remoto: 5/5 | fit observado: 54% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 67%
45,67,54,2026-07-13T12:00:00-03:00,[Dados] Engenheiro de Banco de Dados Sênior (DBA),Contabilizei,remote,BR,inhire,,,,,https://contabilizei.inhire.app/vagas/ebe032ae-9eeb-43ab-a0b5-598ddb1c61b6/dados-engenheiro-de-banco-de-dados-senior-dba,função-alvo não identificada: 0/30 | competências observadas: 7/7 (SQL e banco de dados) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 9/10 (senioridade sênior/especialista) | remoto: 5/5 | fit observado: 54% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 67%
45,67,54,2026-07-10T10:49:37-03:00,[Banco de Talentos] Profissional de Desenvolvimento Sênior SQL | .NET,Radix,remote,BR,inhire,,,,,https://radix.inhire.app/vagas/bc551bed-c045-4769-81b3-f4250eb1c094/banco-de-talentos-profissional-de-desenvolvimento-senior-sql-net,função-alvo não identificada: 0/30 | competências observadas: 7/7 (SQL e banco de dados) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 9/10 (senioridade sênior/especialista) | remoto: 5/5 | fit observado: 54% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 67%
45,64,52,2026-07-29T12:28:34-03:00,Engenheiro de Dados Sênior (Sustentação e Integração Oracle / ODI),Stefanini Group,remote,,gupy,,,,,https://stefanini.gupy.io/job/eyJqb2JJZCI6MTE4NjA3MTAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"função-alvo não identificada: 0/30 | competências observadas: 19/19 (APIs e integrações, SQL e banco de dados, Sustentação) | segmento sem evidência suficiente — não penalizado | senioridade: 9/10 (senioridade sênior/especialista) | remoto: 5/5 | fit observado: 52% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 64%"
