score,coverage,observed_fit,published_at_br,title,company,work_model,city,source,enrichment_status,enrichment_method,enrichment_attempts,description_length,url,reasons
97,90,99,2026-06-25T16:08:52-03:00,Analista de Suporte - N2,Techne,remote,,gupy,enriched,json-ld,1,5430,https://techne.gupy.io/job/eyJqb2JJZCI6MTE1MzUwNzYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"função: 30/30 | competências observadas: 39/40 (N2/L2, APIs e integrações, SQL e banco de dados, Observabilidade e logs, Incidentes/RCA/ITIL) | segmento: 15/15 (financeiro/pagamentos) | senioridade não informada — não penalizada | remoto: 5/5 | fit observado: 99% com ajuste de incerteza | cobertura da análise: 90%"
97,90,99,2026-06-23T16:41:33-03:00,Analista de Suporte,Recrutamento para área de tecnologia com Fit Cultural e Aderência Técnica.,remote,,gupy,enriched,json-ld,1,3952,https://werecruiter.gupy.io/job/eyJqb2JJZCI6MTE1MzY3NzcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"função: 30/30 | competências observadas: 39/40 (N2/L2, APIs e integrações, SQL e banco de dados, Observabilidade e logs, Incidentes/RCA/ITIL) | segmento: 15/15 (financeiro/pagamentos) | senioridade não informada — não penalizada | remoto: 5/5 | fit observado: 99% com ajuste de incerteza | cobertura da análise: 90%"
95,85,99,2026-08-06T22:11:19-03:00,Analista de Suporte .NET N2,act digital,remote,Home Office,Nerdin,enriched,json-ld,1,913,https://www.nerdin.com.br/vaga_emprego/vaga-analista-de-suporte-net-n2-97721.php,"função: 30/30 | competências observadas: 39/40 (N2/L2, APIs e integrações, SQL e banco de dados, Observabilidade e logs, Incidentes/RCA/ITIL) | segmento sem evidência suficiente — não penalizado | senioridade: 10/10 (senioridade pleno) | remoto: 5/5 | fit observado: 99% com ajuste de incerteza | cobertura da análise: 85%"
94,90,96,2026-08-11T09:49:34-03:00,Analista de Suporte à Aplicações N2,Matera,remote,BR,inhire,enriched,inhire-api,1,3338,https://matera.inhire.app/vagas/fb593c1a-f1d3-4f37-8675-e300551cd2d2/analista-de-suporte-a-aplicacoes-n2,"função: 30/30 | competências observadas: 36/40 (N2/L2, APIs e integrações, SQL e banco de dados, Incidentes/RCA/ITIL, Sustentação) | segmento: 15/15 (financeiro/pagamentos) | senioridade não informada — não penalizada | remoto: 5/5 | fit observado: 96% com ajuste de incerteza | cobertura da análise: 90%"
87,100,87,2026-08-13T11:31:24-03:00,Analista de Suporte de Dados,Pantheon,remote,Home Office,Nerdin,enriched,json-ld,1,975,https://www.nerdin.com.br/vaga_emprego/vaga-analista-de-suporte-de-dados-97912.php,"função: 30/30 | competências observadas: 27/40 (APIs e integrações, SQL e banco de dados, Observabilidade e logs, Incidentes/RCA/ITIL) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 10/10 (senioridade pleno) | remoto: 5/5 | cobertura da análise: 100%"
87,100,87,2026-08-07T09:57:53-03:00,A63360990582_Analista de Suporte e Operações Pleno (Remoto),ICON Solutions do Brasil,remote,BR,inhire,enriched,inhire-api,1,4679,https://iconit.inhire.app/vagas/b47d047d-7bea-47cc-abdc-b84ba9653658/a63360990582-analista-de-suporte-e-operacoes-pleno-remoto,"função: 30/30 | competências observadas: 27/40 (APIs e integrações, SQL e banco de dados, Observabilidade e logs, Incidentes/RCA/ITIL) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 10/10 (senioridade pleno) | remoto: 5/5 | cobertura da análise: 100%"
85,100,85,2026-08-11T13:46:59-03:00,Analista de Suporte Técnico JR,Mercafacil,remote,,gupy,enriched,html-text,1,7302,https://mercafacil.gupy.io/job/eyJqb2JJZCI6MTIwNDI5NTMsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"função: 30/30 | competências observadas: 29/40 (APIs e integrações, SQL e banco de dados, Observabilidade e logs, Pagamentos e cartões) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 6/10 (senioridade júnior) | remoto: 5/5 | cobertura da análise: 100%"
85,45,98,2026-07-28T10:54:23-03:00,Senior Support Analyst,e-Core,remote,BR,inhire,error,inhire-api,2,0,https://ecore.inhire.app/vagas/298bfc63-12ea-41af-aafb-a648e3c5ac10/senior-support-analyst,função: 30/30 | competências técnicas sem dados suficientes — não penalizadas | segmento sem evidência suficiente — não penalizado | senioridade: 9/10 (senioridade sênior/especialista) | remoto: 5/5 | fit observado: 98% com ajuste de incerteza | cobertura da análise: 45%
84,35,100,2026-08-10T15:56:12-03:00,Analista de Suporte,Ubots,remote,BR,inhire,error,inhire-api,2,0,https://ubots.inhire.app/vagas/d15708ac-e9e9-428b-ae34-8f6cb79c2ac5/analista-de-suporte,função: 30/30 | competências técnicas sem dados suficientes — não penalizadas | segmento sem evidência suficiente — não penalizado | senioridade não informada — não penalizada | remoto: 5/5 | fit observado: 100% com ajuste de incerteza | cobertura da análise: 35%
83,100,83,2026-08-13T19:13:26-03:00,Analista de Suporte,act digital,remote,Home Office,Nerdin,enriched,json-ld,1,655,https://www.nerdin.com.br/vaga_emprego/vaga-analista-de-suporte-97921.php,"função: 30/30 | competências observadas: 23/40 (SQL e banco de dados, Observabilidade e logs, Incidentes/RCA/ITIL, Sustentação) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 10/10 (senioridade pleno) | remoto: 5/5 | cobertura da análise: 100%"
81,100,81,2026-08-12T12:00:00-03:00,[Suporte] Analista de Suporte Técnico Pleno | Prime Datasul (Remoto),TOTVS,remote,,totvs,enriched,html-text,1,10127,https://atracaodetalentos.totvs.app/vempratotvs/10583/suporte-analista-de-suporte-tecnico-pleno-prime-datasul-remoto,"função: 30/30 | competências observadas: 21/40 (SQL e banco de dados, Incidentes/RCA/ITIL, Pagamentos e cartões) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 10/10 (senioridade pleno) | remoto: 5/5 | cobertura da análise: 100%"
81,100,81,2026-07-22T10:49:33-03:00,Analista de suporte Pleno,DOT Group,remote,BR,inhire,enriched,inhire-api,1,4761,https://dotgroup.inhire.app/vagas/9665cbb0-7d8b-47c0-a976-3c087db019d7/analista-de-suporte-pleno,"função: 30/30 | competências observadas: 21/40 (APIs e integrações, SQL e banco de dados, Incidentes/RCA/ITIL) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 10/10 (senioridade pleno) | remoto: 5/5 | cobertura da análise: 100%"
80,90,81,2026-08-10T12:00:00-03:00,Analista de Sustentação RPA,Grupo SysMap,remote,,gupy,enriched,json-ld,1,1936,https://gruposysmap.gupy.io/job/eyJqb2JJZCI6MTE5ODQ2NjAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"função: 30/30 | competências observadas: 23/40 (SQL e banco de dados, Observabilidade e logs, Incidentes/RCA/ITIL, Sustentação) | segmento: 15/15 (financeiro/pagamentos) | senioridade não informada — não penalizada | remoto: 5/5 | fit observado: 81% com ajuste de incerteza | cobertura da análise: 90%"
79,100,79,2026-07-20T15:56:33-03:00,11667997| Analista de Suporte Sistemas PL,Almaviva Solutions,remote,São Paulo,gupy,enriched,html-text,1,7719,https://almavivasolutions.gupy.io/job/eyJqb2JJZCI6MTE2Njc5OTcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"função: 30/30 | competências observadas: 19/40 (SQL e banco de dados, Observabilidade e logs, Incidentes/RCA/ITIL) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 10/10 (senioridade pleno) | remoto: 5/5 | cobertura da análise: 100%"
79,100,79,2026-06-25T18:16:29-03:00,Analista de Suporte Jr✨🚀,Smart NX,remote,,gupy,enriched,json-ld,1,2763,https://smartnx.gupy.io/job/eyJqb2JJZCI6MTE1NDk0NTEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"função: 30/30 | competências observadas: 23/40 (APIs e integrações, SQL e banco de dados, Pagamentos e cartões) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 6/10 (senioridade júnior) | remoto: 5/5 | cobertura da análise: 100%"
79,90,79,2026-08-13T16:51:23-03:00,Analista de Suporte,Pantheon,remote,BR,inhire,enriched,inhire-api,1,2544,https://pantheon.inhire.app/vagas/9730004f-f1b0-4964-90c3-f7b083ff92a7/analista-de-suporte,"função: 30/30 | competências observadas: 21/40 (APIs e integrações, SQL e banco de dados, Observabilidade e logs) | segmento: 15/15 (financeiro/pagamentos) | senioridade não informada — não penalizada | remoto: 5/5 | fit observado: 79% com ajuste de incerteza | cobertura da análise: 90%"
77,100,77,2026-08-04T10:49:32-03:00,Analista de Suporte Jr,Carreiras SoftExpert,remote,,gupy,enriched,json-ld,1,3888,https://softexpert.gupy.io/job/eyJqb2JJZCI6MTE5Mzc3MzEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"função: 30/30 | competências observadas: 21/40 (APIs e integrações, SQL e banco de dados, Incidentes/RCA/ITIL) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 6/10 (senioridade júnior) | remoto: 5/5 | cobertura da análise: 100%"
76,100,76,2026-08-13T11:15:17-03:00,Pessoa Analista de Suporte Pleno,Vagas Simples Dental,remote,,gupy,enriched,json-ld,1,3802,https://recursoshumanos.gupy.io/job/eyJqb2JJZCI6MTIwNzM2NjEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"função: 30/30 | competências observadas: 16/40 (N2/L2, Pagamentos e cartões) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 10/10 (senioridade pleno) | remoto: 5/5 | cobertura da análise: 100%"
76,85,76,2026-07-28T11:37:09-03:00,Global Support Engineer [mid-level],Segura®,remote,BR,inhire,enriched,inhire-api,1,2503,https://segura.inhire.app/vagas/8d639a65-9c51-4707-bb84-ca7e749ad463/global-support-engineer-mid-level,"função: 30/30 | competências observadas: 20/40 (APIs e integrações, Observabilidade e logs, Incidentes/RCA/ITIL) | segmento sem evidência suficiente — não penalizado | senioridade: 10/10 (senioridade pleno) | remoto: 5/5 | fit observado: 76% com ajuste de incerteza | cobertura da análise: 85%"
76,85,76,2026-07-23T17:00:27-03:00,Analista de Suporte – Remoto,TIVIA TI,remote,Home Office,Nerdin,enriched,json-ld,1,939,https://www.nerdin.com.br/vaga_emprego/vaga-analista-de-suporte-remoto-97305.php,"função: 30/30 | competências observadas: 20/40 (N2/L2, Observabilidade e logs, Incidentes/RCA/ITIL) | segmento sem evidência suficiente — não penalizado | senioridade: 10/10 (senioridade pleno) | remoto: 5/5 | fit observado: 76% com ajuste de incerteza | cobertura da análise: 85%"
75,100,75,2026-07-24T10:55:59-03:00,Analista de Suporte Junior,Semantix,remote,Home Office,Nerdin,enriched,json-ld,1,634,https://www.nerdin.com.br/vaga_emprego/vaga-analista-de-suporte-junior-97332.php,"função: 30/30 | competências observadas: 19/40 (SQL e banco de dados, Observabilidade e logs, Incidentes/RCA/ITIL) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 6/10 (senioridade júnior) | remoto: 5/5 | cobertura da análise: 100%"
74,90,74,2026-08-13T21:02:21-03:00,Tech Support Engineer,Nuvemshop,remote,BR,inhire,enriched,inhire-api,1,4397,https://nuvemshop-tiendanube.inhire.app/vagas/8209ae46-746d-4549-8440-1ca972f66eab/tech-support-engineer,"função: 30/30 | competências observadas: 21/40 (APIs e integrações, SQL e banco de dados, Observabilidade e logs) | segmento: 11/15 (tecnologia/SaaS) | senioridade não informada — não penalizada | remoto: 5/5 | fit observado: 74% com ajuste de incerteza | cobertura da análise: 90%"
73,100,73,2026-07-10T14:24:31-03:00,Analista de Suporte de Servidores Sênior,Semantix,remote,BR,inhire,enriched,inhire-api,1,5087,https://semantix.inhire.app/vagas/fb3d6404-d4ba-44c8-8756-7fb8892a5d6e/analista-de-suporte-de-servidores-senior,"função: 30/30 | competências observadas: 14/40 (Incidentes/RCA/ITIL, Pagamentos e cartões) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 9/10 (senioridade sênior/especialista) | remoto: 5/5 | cobertura da análise: 100%"
72,100,72,2026-08-11T09:24:47-03:00,Analista de Suporte Júnior,Synvia,remote,,gupy,enriched,json-ld,1,2362,https://synvia.gupy.io/job/eyJqb2JJZCI6MTIwMjMxMzYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"função: 30/30 | competências observadas: 16/40 (Observabilidade e logs, Incidentes/RCA/ITIL, Sustentação) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 6/10 (senioridade júnior) | remoto: 5/5 | cobertura da análise: 100%"
72,100,72,2026-07-31T11:17:14-03:00,ANALISTA DE SUPORTE PL - RHA2836,Spread Tecnologia,remote,,gupy,enriched,html-text,1,4224,https://spread.gupy.io/job/eyJqb2JJZCI6MTE4NzM2MzQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"função: 30/30 | competências observadas: 16/40 (Observabilidade e logs, Incidentes/RCA/ITIL, Sustentação) | segmento: 11/15 (tecnologia/SaaS) | senioridade: 10/10 (senioridade pleno) | remoto: 5/5 | cobertura da análise: 100%"
71,100,71,2026-07-27T10:57:53-03:00,Analista de Suporte Jr - Área Gestão de Pessoal,Governançabrasil,remote,,gupy,enriched,json-ld,1,2694,https://governancabrasil.gupy.io/job/eyJqb2JJZCI6MTE4MjIyMzgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"função: 30/30 | competências observadas: 15/40 (SQL e banco de dados, Pagamentos e cartões) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 6/10 (senioridade júnior) | remoto: 5/5 | cobertura da análise: 100%"
71,90,71,2026-07-21T14:37:49-03:00,11728728 - Analista de Suporte L3 –  Copilot,MTP Métodos e Tecnologia – Brasil,remote,,gupy,enriched,json-ld,1,3342,https://mtpbrasil.gupy.io/job/eyJqb2JJZCI6MTE3Mjg3MjgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"função: 30/30 | competências observadas: 18/40 (APIs e integrações, Incidentes/RCA/ITIL, Sustentação) | segmento: 11/15 (tecnologia/SaaS) | senioridade não informada — não penalizada | remoto: 5/5 | fit observado: 71% com ajuste de incerteza | cobertura da análise: 90%"
70,90,70,2026-08-05T17:00:16-03:00,Analista de Suporte Técnico,Segware,remote,,gupy,enriched,json-ld,1,2636,https://segware.gupy.io/job/eyJqb2JJZCI6MTE5MzA1NTAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"função: 30/30 | competências observadas: 13/40 (SQL e banco de dados, Observabilidade e logs) | segmento: 15/15 (financeiro/pagamentos) | senioridade não informada — não penalizada | remoto: 5/5 | fit observado: 70% com ajuste de incerteza | cobertura da análise: 90%"
68,85,67,2026-08-09T12:00:00-03:00,Desenvolvedor Líder / Coordenador de Suporte N2/N3 - PJ - 100% Home Office -,Equipe de RH | easyfast.tech,remote,"Santos, SP",solides,error,,1,0,https://easyfast-tech.solides.jobs/vacancies/900346?origem=portal,"função: 27/30 | competências observadas: 16/40 (N2/L2, APIs e integrações) | segmento sem evidência suficiente — não penalizado | senioridade: 9/10 (senioridade sênior/especialista) | remoto: 5/5 | fit observado: 67% com ajuste de incerteza | cobertura da análise: 85%"
65,90,64,2026-08-12T18:40:15-03:00,Analista de Suporte,Gaudium,remote,,gupy,enriched,json-ld,1,3122,https://gaudium.gupy.io/job/eyJqb2JJZCI6MTIwNjQ4MjQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,função: 30/30 | competências observadas: 8/40 (Pagamentos e cartões) | segmento: 15/15 (financeiro/pagamentos) | senioridade não informada — não penalizada | remoto: 5/5 | fit observado: 64% com ajuste de incerteza | cobertura da análise: 90%
65,90,64,2026-08-03T14:18:48-03:00,Analista de Suporte Fiscal,Contajá Contabilidade Online,remote,,gupy,enriched,json-ld,1,4239,https://trabalhenacontaja.gupy.io/job/eyJqb2JJZCI6MTE5MjU3MDAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,função: 30/30 | competências observadas: 8/40 (Pagamentos e cartões) | segmento: 15/15 (financeiro/pagamentos) | senioridade não informada — não penalizada | remoto: 5/5 | fit observado: 64% com ajuste de incerteza | cobertura da análise: 90%
65,90,64,2026-06-17T16:00:23-03:00,Analista de Suporte Técnico - Afiliação,GEX,remote,BR,inhire,enriched,inhire-api,1,3878,https://gex.inhire.app/vagas/affe3e52-829c-4ae7-a4a5-a8d23aa06a49/analista-de-suporte-tecnico-afiliacao,função: 30/30 | competências observadas: 8/40 (Pagamentos e cartões) | segmento: 15/15 (financeiro/pagamentos) | senioridade não informada — não penalizada | remoto: 5/5 | fit observado: 64% com ajuste de incerteza | cobertura da análise: 90%
64,100,64,2026-08-11T10:36:44-03:00,Analista de Suporte Júnior (Crédito) - Afirmativa PcD,Superlógica Tecnologias,remote,BR,inhire,enriched,inhire-api,1,3471,https://superlogica.inhire.app/vagas/1043a576-aec4-42d8-bb09-810cecff03d9/analista-de-suporte-junior-credito-afirmativa-pcd,função: 30/30 | competências observadas: 8/40 (Pagamentos e cartões) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 6/10 (senioridade júnior) | remoto: 5/5 | cobertura da análise: 100%
64,100,64,2026-08-10T14:05:32-03:00,Analista de Suporte Ao Cliente,Hope Solution,remote,Remoto,geekhunter,enriched,json-ld,1,2971,https://www.geekhunter.com/pt/hope-solution/jobs/analista-de-suporte-ao-cliente-1,função: 30/30 | competências observadas: 8/40 (Pagamentos e cartões) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 6/10 (senioridade júnior) | remoto: 5/5 | cobertura da análise: 100%
64,100,64,2026-08-05T15:26:30-03:00,Analista de Suporte Júnior,Framework,remote,BR,inhire,enriched,inhire-api,1,2850,https://frameworkdigital.inhire.app/vagas/3efb8049-d143-48c0-a811-1075b178d113/analista-de-suporte-junior,função: 30/30 | competências observadas: 8/40 (Pagamentos e cartões) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 6/10 (senioridade júnior) | remoto: 5/5 | cobertura da análise: 100%
64,100,64,2026-07-15T00:00:00-03:00,Analista de Suporte Técnico Júnior I,Grupo WebPic,remote,Totalmente Remoto,empregare,enriched,html-text,1,4210,https://www.empregare.com/v171220,função: 30/30 | competências observadas: 8/40 (Pagamentos e cartões) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 6/10 (senioridade júnior) | remoto: 5/5 | cobertura da análise: 100%
64,100,64,2026-07-09T18:23:43-03:00,Analista de Suporte ao Cliente Junior,Lastlink,remote,BR,inhire,enriched,inhire-api,1,2316,https://lastlink.inhire.app/vagas/da07854f-b799-49c3-9528-a263ca3b9fe5/analista-de-suporte-ao-cliente-junior,função: 30/30 | competências observadas: 8/40 (Pagamentos e cartões) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 6/10 (senioridade júnior) | remoto: 5/5 | cobertura da análise: 100%
64,90,63,2026-08-08T02:15:10-03:00,Technical Customer Support,Fortive,remote,,jobicy,enriched,json-ld,1,6102,https://jobicy.com/jobs/148930-technical-customer-support,"função: 27/30 | competências observadas: 14/40 (APIs e integrações, Observabilidade e logs) | segmento: 11/15 (tecnologia/SaaS) | senioridade não informada — não penalizada | remoto: 5/5 | fit observado: 63% com ajuste de incerteza | cobertura da análise: 90%"
64,85,62,2026-07-02T17:08:04-03:00,Analista de Suporte Jr. - NOC - 12x36 (Exclusiva PCD),Penso + Plural,remote,,gupy,enriched,json-ld,1,2370,https://pensodiversidade.gupy.io/job/eyJqb2JJZCI6MTE1Njk3MDgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"função: 30/30 | competências observadas: 12/40 (Observabilidade e logs, Incidentes/RCA/ITIL) | segmento sem evidência suficiente — não penalizado | senioridade: 6/10 (senioridade júnior) | remoto: 5/5 | fit observado: 62% com ajuste de incerteza | cobertura da análise: 85%"
62,85,60,2026-08-11T19:14:11-03:00,Analista de Suporte a Aplicações,Entrust,remote,Home Office,Nerdin,enriched,json-ld,1,792,https://www.nerdin.com.br/vaga_emprego/vaga-analista-de-suporte-a-aplicacoes-97865.php,função: 30/30 | competências observadas: 6/40 (Incidentes/RCA/ITIL) | segmento sem evidência suficiente — não penalizado | senioridade: 10/10 (senioridade pleno) | remoto: 5/5 | fit observado: 60% com ajuste de incerteza | cobertura da análise: 85%
62,85,72,2026-08-11T10:52:58-03:00,Analista de Suporte N1 - Noturno,3Structure,remote,Home Office,Nerdin,enriched,json-ld,1,764,https://www.nerdin.com.br/vaga_emprego/vaga-analista-de-suporte-n1-noturno-97827.php,"função: 30/30 | competências observadas: 20/40 (N2/L2, Observabilidade e logs, Incidentes/RCA/ITIL) | segmento sem evidência suficiente — não penalizado | senioridade: 6/10 (senioridade júnior) | remoto: 5/5 | fit observado: 72% com ajuste de incerteza | -10: posição N1 | cobertura da análise: 85%"
60,75,55,2026-07-13T11:56:04-03:00,Data Visualization and Transformation Support Engineer,Pantheon,remote,BR,inhire,enriched,inhire-api,2,2370,https://pantheon.inhire.app/vagas/34c8c200-ce78-4cb8-9b74-7235c7e4c9a0/data-visualization-and-transformation-support-engineer,função: 30/30 | competências observadas: 6/40 (Observabilidade e logs) | segmento sem evidência suficiente — não penalizado | senioridade não informada — não penalizada | remoto: 5/5 | fit observado: 55% com ajuste de incerteza | cobertura da análise: 75%
59,100,59,2026-08-09T00:28:47-03:00,Customer Support Specialist,TripleTen,remote,,jobicy,enriched,json-ld,1,1899,https://jobicy.com/jobs/150334-customer-support-specialist-3,função: 22/30 | competências observadas: 8/40 (Pagamentos e cartões) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 9/10 (senioridade sênior/especialista) | remoto: 5/5 | cobertura da análise: 100%
58,100,58,2026-08-11T16:05:46-03:00,Analista de Suporte de TI Junior,Icaro Tech,remote,,gupy,enriched,html-text,1,4220,https://icarotech.gupy.io/job/eyJqb2JJZCI6MTIwNDQ4OTgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,função: 30/30 | competências observadas: 6/40 (Incidentes/RCA/ITIL) | segmento: 11/15 (tecnologia/SaaS) | senioridade: 6/10 (senioridade júnior) | remoto: 5/5 | cobertura da análise: 100%
58,100,58,2026-08-05T13:07:52-03:00,Analista de Suporte Jr,Stefanini Group,remote,,gupy,enriched,json-ld,1,3244,https://stefanini.gupy.io/job/eyJqb2JJZCI6MTE5NTE4MTQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,função: 30/30 | competências observadas: 6/40 (Incidentes/RCA/ITIL) | segmento: 11/15 (tecnologia/SaaS) | senioridade: 6/10 (senioridade júnior) | remoto: 5/5 | cobertura da análise: 100%
58,100,58,2026-08-04T19:44:37-03:00,SERVICE DESK | PESSOA TÉCNICA DE SUPORTE II (PA 24/7),Nexa Vagas,remote,,gupy,enriched,json-ld,1,1821,https://nexatecnologia.gupy.io/job/eyJqb2JJZCI6MTE4NzMzMzMsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,função: 22/30 | competências observadas: 6/40 (Incidentes/RCA/ITIL) | segmento: 15/15 (financeiro/pagamentos) | senioridade: 10/10 (senioridade pleno) | remoto: 5/5 | cobertura da análise: 100%
56,90,54,2026-08-10T12:30:34-03:00,Analista de Suporte,Construct IN,remote,,gupy,enriched,json-ld,1,2793,https://constructin.gupy.io/job/eyJqb2JJZCI6MTIwMjUwMTQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,função: 30/30 | competências observadas: 3/40 (B2B) | segmento: 11/15 (tecnologia/SaaS) | senioridade não informada — não penalizada | remoto: 5/5 | fit observado: 54% com ajuste de incerteza | cobertura da análise: 90%
56,85,65,2026-08-10T15:36:12-03:00,Analista de Suporte de TI N1,Valorei,remote,Home Office,Nerdin,enriched,json-ld,1,999,https://www.nerdin.com.br/vaga_emprego/vaga-analista-de-suporte-de-ti-n1-97792.php,"função: 30/30 | competências observadas: 14/40 (N2/L2, Incidentes/RCA/ITIL) | segmento sem evidência suficiente — não penalizado | senioridade: 6/10 (senioridade júnior) | remoto: 5/5 | fit observado: 65% com ajuste de incerteza | -10: posição N1 | cobertura da análise: 85%"
52,100,52,2026-08-13T11:11:06-03:00,Analista de Suporte Técnico Junior,Mercado Fácil,remote,Home Office,Nerdin,enriched,json-ld,1,927,https://www.nerdin.com.br/vaga_emprego/vaga-analista-de-suporte-tecnico-junior-97888.php,função: 30/30 | competências técnicas: 0/40 | segmento: 11/15 (tecnologia/SaaS) | senioridade: 6/10 (senioridade júnior) | remoto: 5/5 | cobertura da análise: 100%
52,100,52,2026-07-29T09:21:18-03:00,Analista de Suporte Junior,Governança Brasil,remote,Home Office,Nerdin,enriched,json-ld,1,317,https://www.nerdin.com.br/vaga_emprego/vaga-analista-de-suporte-junior-97449.php,função: 30/30 | competências técnicas: 0/40 | segmento: 11/15 (tecnologia/SaaS) | senioridade: 6/10 (senioridade júnior) | remoto: 5/5 | cobertura da análise: 100%
52,100,52,2026-06-22T14:51:53-03:00,Especialista de Suporte Técnico ao Cliente (Área da Tecnologia) - São Paulo (Home Office),Atento Brasil,remote,São Paulo,gupy,enriched,json-ld,1,2931,https://atento.gupy.io/job/eyJqb2JJZCI6MTE1MjYyMjAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,função: 27/30 | competências técnicas: 0/40 | segmento: 11/15 (tecnologia/SaaS) | senioridade: 9/10 (senioridade sênior/especialista) | remoto: 5/5 | cobertura da análise: 100%
